"gender","age","What language(s) do you usually speak at home?","Please specify which other languages you speak at home","Do you speak only a non-English language, more of a non-English language than English, both equally, more English than a non-English language, or only English?","Next I have some general questions about your health.  Would you say your health in general is...","Did you have a head cold or chest cold that started during those 30 days?","Now I'm going to ask a few questions about milk products. Do not include their use in cooking.  In the past 30 days, how often did you have milk to drink or on your cereal? Please include chocolate and other flavored milks as well as hot cocoa made with milk. Do not count small amounts of milk added to coffee or tea.  Would you say...","The next questions are about meals provided by community or government programs.  In the past 12 months, did you receive any meals delivered to your home from community programs, ""Meals on Wheels"", or any other programs?","In the past 12 months, did you buy food from fast food or pizza places?","If nutrition or health information were readily available in fast food or pizza places, would you use it often, sometimes, rarely, or never, in deciding what to order?","Do you have trouble concentrating on things, such as reading the newspaper or watching TV? Would you say...","Over the last 2 weeks, how often have you been bothered by the following problems: - little interest or pleasure in doing things?","Over the last 2 weeks, how often have you been bothered by the following problems: - feeling down, depressed, or hopeless?","Over the last 2 weeks, how often have you been bothered by the following problems: - trouble falling or staying asleep, or sleeping too much?","Over the last 2 weeks, how often have you been bothered by the following problems: - feeling tired or having little energy?","Over the last 2 weeks, how often have you been bothered by the following problems: - poor appetite or overeating?","Over the last 2 weeks, how often have you been bothered by the following problems: - feeling bad about yourself – or that you are a failure or have let yourself or your family down?","For these statements, please tell me whether the statement was often true, sometimes true, or never true for you in the last 12 months, that is since [OtherDate-PT--1%20year]. - I worried whether my food would run out before I got money to buy more","For these statements, please tell me whether the statement was often true, sometimes true, or never true for you in the last 12 months, that is since [OtherDate-PT--1%20year]. - The food that I bought just didn’t last, and I didn’t have enough money to get more food.","For these statements, please tell me whether the statement was often true, sometimes true, or never true for you in the last 12 months, that is since [OtherDate-PT--1%20year]. - I couldn’t afford to eat balanced meals.","In a typical week, on how many days {do you/does SP} do vigorous-intensity activities as part of {your/his/her} work?","Does your work involve moderate-intensity activity that causes small increases in breathing or heart rate such as brisk walking or carrying light loads for at least 10 minutes continuously?","The next questions exclude the physical activities at work that you have already mentioned. Now I would like to ask you about the usual way you to and from places. For example to school, for shopping, to work. In a typical week do you walk or use a bicycle for at least 10 minutes continuously to get to and from places?","In a typical week, on how many days do you walk or bicycle for at least 10 minutes continuously to get to and from places?","Over the past 30 days, on average how many hours per day did you sit and watch TV or videos?"
"Male",61,NA,NA,NA,NA,NA,"often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"1 hour"
"Male",21,"English",NA,NA,"good","No","often","No","No",NA,"Not at all","Not at all","Not at all","Not at all","Not at all","Several days","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"4 hour"
"Male",59,NA,NA,NA,"good","Yes","sometimes",NA,"Yes","Sometimes","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Sometimes true","Sometimes true","Sometimes true","5","Yes","No",NA,"1 hour"
"Female",48,NA,NA,NA,"good","No","sometimes",NA,"Yes","Sometimes","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","Yes","2","4 hour"
"Male",24,"English",NA,NA,"very good","No","never","No","Yes","Sometimes","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"4 hour"
"Male",67,NA,NA,NA,"good","No","never",NA,"Yes","Sometimes","Several days","Several days","Not at all","Not at all","Several days","Not at all","Several days","Never true","Never true","Never true",NA,"No","No",NA,"4 hour"
"Female",62,NA,NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"less than 1 hour"
"Male",46,NA,NA,"More non-English than English","excellent","No","sometimes",NA,"Yes","Never","Not at all","Not at all","Several days","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","Yes","7","4 hour"
"Male",50,NA,NA,NA,"good","No","sometimes",NA,"Yes","Often","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","Yes","3","less than 1 hour"
"Male",76,"English",NA,NA,"excellent","No","sometimes",NA,"Yes","Often","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"less than 1 hour"
"Female",44,"English",NA,NA,"good","No","often",NA,"Yes","Rarely","Several days","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","Yes","5","1 hour"
"Male",17,"English",NA,NA,"good","Yes","never","No","Yes","Never","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"Yes","No",NA,"4 hour"
"Female",37,NA,NA,NA,"good","No","often","No","Yes","Often","Nearly every day","Not at all","Nearly every day","Several days","Not at all","Not at all","Not at all","Sometimes true","Sometimes true","Never true",NA,"No","No",NA,"5 hour"
"Male",58,NA,NA,NA,"good","Yes","rarely","No","Yes","Sometimes","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Sometimes true","Sometimes true","Sometimes true",NA,"No","No",NA,"1 hour"
"Male",60,"English",NA,NA,NA,NA,"often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often true","Sometimes true","Often true",NA,NA,NA,NA,"2 hour"
"Male",65,NA,NA,NA,"good","No","often",NA,"Yes","Often","Several days","Several days","Several days","Several days","Not at all","Several days","Not at all","Often true","Never true","Never true","2","Yes","No",NA,"2 hour"
"Male",25,"English",NA,NA,"poor","No","often","No","Yes","Never","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"4 hour"
"Female",21,NA,NA,NA,"very good","No","often",NA,"Yes","Often","Not at all","Several days","Several days","Not at all","Not at all","Several days","Not at all","Never true","Never true","Never true",NA,"No","Yes","5","1 hour"
"Female",41,"English",NA,NA,"good","No","rarely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Never true","Never true",NA,"Yes","Yes","3","1 hour"
"Male",47,"English",NA,NA,NA,NA,"often","No","Yes","Often",NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"Yes","Yes","5","3 hour"
"Male",57,NA,NA,NA,"very good","No","sometimes",NA,"Yes","Sometimes","Not at all","Not at all","Several days","Several days","Several days","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"3 hour"
"Male",34,"English",NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often true","Never true","Never true",NA,NA,NA,NA,"2 hour"
"Female",42,"English",NA,NA,"good","Yes","often","No","No",NA,"Not at all","Not at all","Not at all","Not at all","Several days","Not at all","Nearly every day","Never true","Never true","Never true",NA,"No","No",NA,"2 hour"
"Male",80,NA,NA,NA,"good","No","sometimes",NA,"Yes","Never",NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Sometimes true","Sometimes true","4","Yes","No",NA,"5 hour"
"Male",69,NA,NA,NA,"very good","No","rarely",NA,"Yes","Sometimes","Several days","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","Yes","7","1 hour"
"Female",19,"English",NA,NA,"poor","No","often",NA,"No",NA,"Several days","Several days","Several days","More than half the days","Not at all","Not at all","Nearly every day","Sometimes true","Sometimes true","Sometimes true",NA,"No","No",NA,"3 hour"
"Male",41,"English",NA,NA,"fair","Yes","never","No","Yes","Sometimes","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Sometimes true","Sometimes true","Sometimes true",NA,"No","No",NA,"4 hour"
"Female",22,NA,NA,NA,"very good","No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Sometimes true","Sometimes true",NA,"No","No",NA,"5 hour"
"Female",26,"English",NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Never true","Never true",NA,NA,NA,NA,"3 hour"
"Female",65,"English",NA,NA,NA,NA,"often",NA,"Yes","Sometimes",NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true","1","Yes","Yes","5","1 hour"
"Female",54,NA,NA,NA,"good","No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","Yes","1","2 hour"
"Male",19,"English",NA,NA,"excellent","No","rarely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Never true","Never true",NA,"No","Yes","7","less than 1 hour"
"Female",36,NA,NA,"More non-English than English","very good","Yes","often","No","No",NA,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"2 hour"
"Female",25,"English",NA,NA,"very good","No","often",NA,"No",NA,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"4 hour"
"Male",22,"English",NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often true","Often true","Sometimes true",NA,NA,NA,NA,"3 hour"
"Female",41,"English",NA,NA,NA,NA,"often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"1 hour"
"Male",53,"English",NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"1 hour"
"Male",64,NA,NA,NA,"very good","No","often",NA,"No",NA,"Not at all","Several days","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"less than 1 hour"
"Female",33,"English",NA,NA,NA,"Yes","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"1 hour"
"Male",78,"English",NA,NA,"fair","Yes","sometimes","No","Yes","Sometimes","Not at all","Not at all","Several days","Several days","Not at all","Not at all","Not at all","Often true","Often true","Sometimes true",NA,"No","No",NA,"5 hour"
"Female",60,"English",NA,NA,NA,NA,"often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Sometimes true","Never true",NA,NA,NA,NA,"2 hour"
"Female",58,NA,NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"2 hour"
"Male",23,NA,NA,NA,"excellent","No","often",NA,"Yes","Sometimes",NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Sometimes true","Never true",NA,"No","No",NA,"1 hour"
"Male",16,"English",NA,NA,"fair","No","never","No","No",NA,"More than half the days","More than half the days","More than half the days","Not at all","More than half the days","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"5 hour"
"Male",73,"English",NA,NA,"very good","No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"Yes","Yes","7","1 hour"
"Female",66,"English",NA,NA,"good","No","sometimes",NA,"Yes","Rarely","Several days","Nearly every day","Nearly every day","Nearly every day","Not at all","Nearly every day","More than half the days","Sometimes true","Never true","Sometimes true",NA,"Yes","No",NA,"5 hour"
"Male",52,"English",NA,NA,NA,"Yes","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"2 hour"
"Male",43,"English",NA,NA,"very good","Yes","sometimes",NA,"Yes","Sometimes","Not at all","Several days","Not at all","Several days","Several days","Several days","Not at all","Never true","Never true","Never true",NA,"Yes","No",NA,"less than 1 hour"
"Male",50,"English",NA,NA,"good","Yes","never",NA,"No",NA,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","Yes","3","3 hour"
"Male",53,NA,NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often true","Often true","Often true",NA,NA,NA,NA,"1 hour"
"Male",59,"English",NA,NA,"excellent","Yes","rarely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","No",NA,"4 hour"
"Female",63,NA,NA,NA,"good","No","often",NA,"No",NA,"Nearly every day","Not at all","Nearly every day","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true","6","No","No",NA,"2 hour"
"Male",61,"English",NA,NA,"good","No","rarely","No","No",NA,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"3 hour"
"Male",19,NA,NA,"Only Non-English language","good","No","often",NA,"Yes","Sometimes","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"Yes","Yes","7","5 hour"
"Female",47,"English",NA,NA,"good","No","often",NA,"Yes","Never","Not at all","Several days","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true","1","No","No",NA,"2 hour"
"Male",32,NA,NA,NA,NA,"Yes","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Sometimes true","Often true",NA,NA,NA,NA,"2 hour"
"Female",57,NA,NA,NA,"good","No","never",NA,"Yes","Sometimes","Several days","Not at all","Several days","Several days","Several days","Not at all","Several days","Sometimes true","Never true","Never true",NA,"Yes","No",NA,"2 hour"
"Male",22,"English",NA,NA,"good","No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"Yes","No",NA,"1 hour"
"Female",65,"English",NA,NA,"very good","No","often","Yes","No",NA,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","Yes","5","5 hour"
"Male",29,"English",NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"less than 1 hour"
"Male",56,"English",NA,NA,"excellent","Yes","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"Yes","Yes","2","1 hour"
"Male",78,"English",NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Sometimes true","Never true",NA,NA,NA,NA,"5 hour"
"Male",48,NA,NA,NA,"good","No","sometimes",NA,"Yes","Sometimes",NA,NA,NA,NA,NA,NA,NA,"Never true","Sometimes true","Never true",NA,"No","Yes","7","5 hour"
"Female",78,NA,NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"2 hour"
"Male",49,"English",NA,NA,"good","No","often",NA,"No",NA,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"less than 1 hour"
"Female",58,"English",NA,NA,NA,NA,"rarely",NA,"Yes","Rarely",NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","Yes","4","less than 1 hour"
"Female",29,"English",NA,NA,"excellent","No","sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true","2","Yes","No",NA,"I don't watch TV or videos"
"Male",72,NA,NA,NA,"good","No","often",NA,"Yes","Sometimes","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Sometimes true","Never true","Never true",NA,"No","No",NA,"4 hour"
"Female",53,NA,NA,NA,"very good","No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often true","Sometimes true","Often true",NA,"No","No",NA,"less than 1 hour"
"Male",17,"English",NA,NA,"excellent","Yes","never",NA,"Yes","Never","Not at all","Not at all","Not at all","Several days","Several days","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"I don't watch TV or videos"
"Female",36,"English",NA,NA,"very good","No","often",NA,"Yes","Never","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true","5","Yes","Yes","3","2 hour"
"Male",54,"English",NA,NA,"good","No","often",NA,"Yes","Often","Several days","Not at all","Not at all","More than half the days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"2 hour"
"Male",58,"English",NA,NA,NA,NA,"often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes true","Never true","Never true",NA,NA,NA,NA,"5 hour"
"Male",64,"English",NA,NA,"good","No","rarely",NA,"Yes","Sometimes","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Never true","Never true","3","Yes","No",NA,"2 hour"
"Female",71,NA,NA,NA,"very good","No","sometimes",NA,"Yes","Often","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"3 hour"
"Male",18,NA,NA,"Only Non-English language",NA,NA,"sometimes",NA,"Yes","Sometimes",NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","Yes","6","5 hour"
"Male",46,NA,NA,"More non-English than English","good","No","often","No","Yes","Rarely","Not at all","Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"3 hour"
"Male",71,"English",NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"1 hour"
"Female",57,NA,NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often true","Often true","Never true",NA,NA,NA,NA,"2 hour"
"Female",19,"English",NA,NA,"very good","No","often",NA,"Yes","Rarely","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","Yes","1","1 hour"
"Female",79,"English",NA,NA,"good","No","sometimes",NA,"Yes","Often","Several days","Not at all","Several days","More than half the days","Not at all","Several days","Not at all","Never true","Never true","Never true",NA,"No","Yes","7","2 hour"
"Female",37,NA,NA,"Only English","good","No","often","No","Yes","Sometimes","Several days","Not at all","Several days","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"5 hour"
"Male",79,NA,NA,NA,"very good","No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often true","Often true","Often true",NA,"No","Yes","2","less than 1 hour"
"Male",71,NA,NA,"Only English",NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"2 hour"
"Female",25,"English",NA,NA,"good","No","often",NA,"Yes","Rarely","Not at all","Not at all","Not at all","Several days","Not at all","Several days","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"1 hour"
"Male",62,NA,NA,"Only Non-English language",NA,NA,"rarely",NA,"Yes","Sometimes",NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","No",NA,"less than 1 hour"
"Male",59,NA,NA,"Only English",NA,NA,"often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"2 hour"
"Female",20,"English",NA,NA,"fair","No","sometimes",NA,"No",NA,"Not at all","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Never true","Sometimes true","Sometimes true","5","No","No",NA,"2 hour"
"Female",80,"English",NA,NA,"fair","Yes","never",NA,"Yes","Never","Not at all","Not at all","Not at all","Not at all","Nearly every day","Not at all","Not at all","Often true","Sometimes true","Never true","5","Yes","No",NA,"5 hour"
"Male",37,NA,NA,NA,"good","Yes","sometimes",NA,"Yes","Often","Not at all","Not at all","Several days","Several days","Several days","Not at all","Not at all","Never true","Never true","Never true",NA,"No","No",NA,"5 hour"
"Male",58,NA,NA,NA,"good","No","rarely",NA,"No",NA,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","Yes","7","1 hour"
"Male",33,NA,NA,"Both equally","very good","No","often",NA,"Yes","Never","Not at all","Not at all","Several days","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"No","Yes","7","3 hour"
"Female",16,NA,NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,NA
"Female",72,"English",NA,NA,"good","No","often",NA,"Yes","Rarely","Not at all","Not at all","Nearly every day","More than half the days","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"Yes","No",NA,"2 hour"
"Male",16,"English",NA,NA,"good","No","often","Yes","Yes","Sometimes","Not at all","Several days","Several days","Not at all","Several days","Not at all","Not at all","Never true","Never true","Never true",NA,"Yes","No",NA,"4 hour"
"Male",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,NA
"Male",47,"English",NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"less than 1 hour"
"Female",46,"English",NA,NA,NA,"No","often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,"2 hour"
"Male",36,NA,NA,NA,"good","No","sometimes",NA,"Yes","Never","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true","1","No","No",NA,"2 hour"
"Male",70,NA,NA,NA,"good","No","sometimes",NA,"Yes","Never",NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","No",NA,"1 hour"
"Female",35,NA,NA,"Only Non-English language",NA,NA,"never",NA,"Yes","Never",NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,"No","Yes","7","1 hour"
"Male",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never true","Never true","Never true",NA,NA,NA,NA,NA
"Female",24,NA,NA,NA,"very good","Yes","often",NA,"Yes","Often","Several days","Several days","Several days","Not at all","Not at all","Several days","Not at all","Sometimes true","Sometimes true","Sometimes true",NA,"Yes","No",NA,"3 hour"
"Female",48,"English",NA,NA,"very good","Yes","sometimes",NA,"Yes","Never","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Never true","Never true","Never true",NA,"Yes","Yes","6","1 hour"
"Male",32,"English",NA,NA,"fair","No","often","No","No",NA,"Not at all","Not at all","Not at all","Nearly every day","Not at all","Not at all","Several days","Never true","Never true","Never true",NA,"No","No",NA,"3 hour"
